project_slug,cve_id,github_username,github_repository_name,commit,file,class,class_start,class_end,method,method_start,method_end,signature
apache__activemq_CVE-2014-3576_5.10.2,CVE-2014-3576,apache,activemq,00921f22ff9a8792d7663ef8fadd4823402a6324,activemq-broker/src/main/java/org/apache/activemq/broker/TransportConnection.java,TransportConnection,104,1655,processControlCommand,1536,1541,"Response processControlCommand(ControlCommand)"
apache__activemq_CVE-2014-3576_5.10.2,CVE-2014-3576,apache,activemq,f07e6a53216f9388185ac2b39f366f3bfd6a8a55,activemq-broker/src/main/java/org/apache/activemq/broker/TransportConnection.java,TransportConnection,104,1655,processControlCommand,1536,1541,"Response processControlCommand(ControlCommand)"
apache__activemq_CVE-2014-3600_5.10.0,CVE-2014-3600,apache,activemq,3e5ac6326db59f524a0e71f6b717428607d7b67d,activemq-broker/src/main/java/org/apache/activemq/filter/JAXPXPathEvaluator.java,JAXPXPathEvaluator,32,80,evaluate,61,66,"boolean evaluate(byte)"
apache__activemq_CVE-2014-3600_5.10.0,CVE-2014-3600,apache,activemq,3e5ac6326db59f524a0e71f6b717428607d7b67d,activemq-broker/src/main/java/org/apache/activemq/filter/JAXPXPathEvaluator.java,JAXPXPathEvaluator,32,80,toString,80,81,"String toString()"
apache__activemq_CVE-2014-3600_5.10.0,CVE-2014-3600,apache,activemq,3e5ac6326db59f524a0e71f6b717428607d7b67d,activemq-broker/src/main/java/org/apache/activemq/filter/JAXPXPathEvaluator.java,JAXPXPathEvaluator,32,80,evaluate,48,58,"boolean evaluate(Message)"
apache__activemq_CVE-2014-3600_5.10.0,CVE-2014-3600,apache,activemq,3e5ac6326db59f524a0e71f6b717428607d7b67d,activemq-client/src/main/java/org/apache/activemq/filter/XPathExpression.java,XPathExpression,33,116,evaluate,95,102,"Object evaluate(MessageEvaluationContext)"
apache__activemq_CVE-2014-3600_5.10.0,CVE-2014-3600,apache,activemq,3e5ac6326db59f524a0e71f6b717428607d7b67d,activemq-client/src/main/java/org/apache/activemq/filter/XPathExpression.java,XPathExpression,33,116,getXPathEvaluatorConstructor,73,78,"Constructor getXPathEvaluatorConstructor(String)"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-amqp/src/test/java/org/apache/activemq/transport/amqp/AmqpTestSupport.java,AmqpTestSupport,61,462,addTranportConnectors,169,247,"void addTranportConnectors()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-client/src/main/java/org/apache/activemq/transport/tcp/SslTransport.java,SslTransport,47,175,initialiseSocket,82,109,"void initialiseSocket(Socket)"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-client/src/main/java/org/apache/activemq/transport/tcp/TcpTransportServer.java,TcpTransportServer,69,724,configureServerSocket,163,200,"void configureServerSocket(ServerSocket)"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/bugs/AMQ6599Test.java,AMQ6599Test,39,94,before,69,80,"void before()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/network/NetworkReconnectSslNioTest.java,NetworkReconnectSslNioTest,36,41,testForceReconnect,41,100,"void testForceReconnect()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoSslAuthTest.java,AutoSslAuthTest,44,127,testConnect,127,139,"void testConnect()"
apache__activemq_CVE-2018-11775_5.15.5,CVE-2018-11775,apache,activemq,02971a40e281713a8397d3a1809c164b594abfbb,activemq-unit-tests/src/test/java/org/apache/activemq/transport/auto/AutoSslAuthTest.java,AutoSslAuthTest,44,127,before,74,108,"void before(Broker,ConnectionContext,ConnectionInfo)"
